epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,973.243,0.51341,0.35854,0.89773,0.97718,0.94495,0.97788,0.80068,0.63575,0.34116,0.8942,0.000785307,0.000785307,0.000785307
93,983.651,0.48694,0.34418,0.88386,0.96785,0.94597,0.97966,0.80161,0.6325,0.34028,0.90456,0.000778233,0.000778233,0.000778233
94,994.117,0.5149,0.35392,0.90066,0.96624,0.95064,0.98017,0.80252,0.6316,0.32751,0.90057,0.00077116,0.00077116,0.00077116
95,1004.96,0.50898,0.35444,0.89536,0.97526,0.94947,0.97919,0.80308,0.61976,0.33456,0.90128,0.000764086,0.000764086,0.000764086
96,1015.37,0.49743,0.35566,0.90248,0.9727,0.92731,0.97513,0.79528,0.64464,0.33858,0.89676,0.000757013,0.000757013,0.000757013
97,1025.64,0.49591,0.35478,0.90091,0.96592,0.93925,0.97678,0.79853,0.63851,0.34338,0.8861,0.000749939,0.000749939,0.000749939
98,1035.86,0.49761,0.35625,0.88963,0.98212,0.9305,0.97851,0.80586,0.62909,0.3339,0.89679,0.000742866,0.000742866,0.000742866
99,1046.11,0.47509,0.34306,0.88633,0.98355,0.9402,0.97937,0.80409,0.60973,0.33083,0.88904,0.000735792,0.000735792,0.000735792
100,1056.39,0.49751,0.34553,0.8874,0.98586,0.94077,0.97892,0.81024,0.62791,0.33335,0.90387,0.000728719,0.000728719,0.000728719
101,1066.69,0.51482,0.35782,0.90338,0.98807,0.91285,0.97653,0.80127,0.6266,0.33114,0.89796,0.000721645,0.000721645,0.000721645
102,1077.06,0.49175,0.34609,0.89782,0.96871,0.94001,0.97713,0.80702,0.62458,0.32522,0.88969,0.000714571,0.000714571,0.000714571
103,1087.36,0.48432,0.34133,0.8988,0.98372,0.94265,0.98201,0.80956,0.61734,0.3319,0.89346,0.000707498,0.000707498,0.000707498
104,1097.87,0.48641,0.34167,0.88891,0.97212,0.95065,0.97947,0.80506,0.62655,0.33184,0.8923,0.000700424,0.000700424,0.000700424
105,1107.85,0.49233,0.35072,0.89253,0.96874,0.94803,0.97847,0.80316,0.62489,0.32948,0.89222,0.000693351,0.000693351,0.000693351
106,1117.84,0.48082,0.3422,0.87577,0.97041,0.95187,0.98205,0.81083,0.61432,0.31925,0.90051,0.000686277,0.000686277,0.000686277
107,1127.85,0.48008,0.3332,0.87884,0.99158,0.94073,0.97846,0.81073,0.61388,0.32285,0.8888,0.000679204,0.000679204,0.000679204
108,1137.88,0.46529,0.33481,0.87213,0.9857,0.94566,0.98092,0.80881,0.62037,0.32523,0.89414,0.00067213,0.00067213,0.00067213
109,1147.88,0.48075,0.34252,0.88003,0.97057,0.95284,0.9819,0.8115,0.60655,0.3231,0.89448,0.000665057,0.000665057,0.000665057
110,1157.92,0.46367,0.331,0.8841,0.98197,0.94606,0.9798,0.80984,0.61379,0.32915,0.88248,0.000657983,0.000657983,0.000657983
111,1167.96,0.46554,0.33424,0.87747,0.96849,0.93908,0.97697,0.80918,0.62047,0.32941,0.88303,0.000650909,0.000650909,0.000650909
112,1178,0.45898,0.33326,0.88596,0.96444,0.94512,0.97947,0.81203,0.60494,0.32843,0.88532,0.000643836,0.000643836,0.000643836
113,1188.11,0.47079,0.33077,0.8822,0.97674,0.94048,0.98031,0.81565,0.60246,0.31372,0.89618,0.000636762,0.000636762,0.000636762
114,1198.2,0.46836,0.33292,0.87843,0.96859,0.9324,0.97786,0.81009,0.61062,0.31817,0.89464,0.000629689,0.000629689,0.000629689
115,1208.28,0.47175,0.33531,0.88642,0.98284,0.94099,0.97824,0.8047,0.60088,0.31893,0.88299,0.000622615,0.000622615,0.000622615
116,1218.37,0.4427,0.31773,0.87794,0.97585,0.94353,0.9818,0.81617,0.6053,0.30715,0.89737,0.000615542,0.000615542,0.000615542
117,1228.41,0.44792,0.32125,0.88221,0.97901,0.94743,0.98169,0.81027,0.61009,0.31237,0.89447,0.000608468,0.000608468,0.000608468
118,1238.42,0.45623,0.32477,0.87496,0.96654,0.94422,0.9756,0.81335,0.60614,0.326,0.88615,0.000601395,0.000601395,0.000601395
119,1248.43,0.46418,0.33028,0.8791,0.97617,0.94914,0.97934,0.81414,0.61255,0.32454,0.89325,0.000594321,0.000594321,0.000594321
120,1258.42,0.45704,0.32414,0.88133,0.96931,0.94638,0.97783,0.80898,0.59949,0.32042,0.87608,0.000587248,0.000587248,0.000587248
121,1268.38,0.45206,0.32585,0.8776,0.98476,0.9385,0.97954,0.81944,0.60241,0.30994,0.89511,0.000580174,0.000580174,0.000580174
