epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5896.97,0.47761,0.31235,0.87248,0.97103,0.94688,0.98302,0.83517,0.62881,0.28086,0.8511,0.0063865,0.0063865,0.0063865
75,5975.41,0.47951,0.30728,0.87591,0.96706,0.95235,0.98391,0.83761,0.6269,0.28031,0.85182,0.006337,0.006337,0.006337
76,6053.79,0.47621,0.30968,0.87474,0.96746,0.95432,0.98339,0.83789,0.62659,0.28057,0.85248,0.0062875,0.0062875,0.0062875
77,6132.51,0.4731,0.30826,0.87322,0.96685,0.95319,0.98354,0.8358,0.63106,0.28081,0.85295,0.006238,0.006238,0.006238
78,6211.12,0.46351,0.30305,0.86803,0.96839,0.95702,0.9845,0.83744,0.62716,0.27771,0.85352,0.0061885,0.0061885,0.0061885
79,6289.7,0.47138,0.30291,0.87125,0.96819,0.95155,0.98389,0.83845,0.62833,0.28009,0.85249,0.006139,0.006139,0.006139
80,6368.2,0.46885,0.30207,0.87254,0.96886,0.95475,0.98467,0.83982,0.62591,0.27733,0.8522,0.0060895,0.0060895,0.0060895
81,6447.16,0.46193,0.3002,0.86964,0.97282,0.94953,0.98492,0.83997,0.62126,0.27591,0.85185,0.00604,0.00604,0.00604
82,6526.2,0.4648,0.30266,0.87225,0.96832,0.95007,0.98397,0.84219,0.62029,0.27675,0.85046,0.0059905,0.0059905,0.0059905
83,6604.78,0.46102,0.29804,0.87132,0.972,0.9519,0.98415,0.8424,0.62087,0.27637,0.8503,0.005941,0.005941,0.005941
84,6683.59,0.46756,0.30512,0.87222,0.97333,0.95062,0.9844,0.84232,0.62076,0.27778,0.85086,0.0058915,0.0058915,0.0058915
85,6762.45,0.46121,0.29782,0.86834,0.97198,0.95298,0.98468,0.8425,0.6205,0.27578,0.85024,0.005842,0.005842,0.005842
86,6841.74,0.45414,0.29519,0.86687,0.97253,0.95207,0.98457,0.84178,0.61959,0.27453,0.8497,0.0057925,0.0057925,0.0057925
87,6920.43,0.45296,0.29563,0.86558,0.97053,0.95367,0.98428,0.84066,0.61902,0.27421,0.85122,0.005743,0.005743,0.005743
88,7001.4,0.45239,0.294,0.8652,0.972,0.95441,0.98405,0.84116,0.61899,0.27357,0.851,0.0056935,0.0056935,0.0056935
89,7081.2,0.45115,0.29144,0.86522,0.97055,0.95445,0.98437,0.84304,0.61631,0.27379,0.85089,0.005644,0.005644,0.005644
90,7160.22,0.4521,0.29361,0.86619,0.97166,0.95358,0.98424,0.8423,0.62096,0.2743,0.85287,0.0055945,0.0055945,0.0055945
