epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5090.28,0.50284,0.32038,0.88634,0.97166,0.9483,0.98056,0.83215,0.64359,0.29027,0.85486,0.0068815,0.0068815,0.0068815
65,5169.53,0.49901,0.32145,0.8831,0.97128,0.94712,0.98218,0.83332,0.6389,0.29011,0.85361,0.006832,0.006832,0.006832
66,5248.4,0.49239,0.3183,0.88122,0.97268,0.94682,0.98055,0.83454,0.635,0.29047,0.84996,0.0067825,0.0067825,0.0067825
67,5327.95,0.48772,0.31438,0.87733,0.97528,0.94329,0.98074,0.83428,0.63847,0.29202,0.85494,0.006733,0.006733,0.006733
68,5407.57,0.4896,0.31706,0.87972,0.97508,0.94631,0.98114,0.83531,0.63273,0.28869,0.854,0.0066835,0.0066835,0.0066835
69,5486.63,0.49072,0.31582,0.88264,0.97788,0.95073,0.9817,0.83628,0.63103,0.28503,0.85239,0.006634,0.006634,0.006634
70,5565.63,0.48474,0.31591,0.87787,0.9725,0.94818,0.98159,0.83469,0.63539,0.28752,0.85277,0.0065845,0.0065845,0.0065845
71,5644.69,0.48273,0.31177,0.87978,0.98013,0.94301,0.98119,0.83447,0.63225,0.28839,0.85015,0.006535,0.006535,0.006535
72,5724.26,0.48186,0.31062,0.8765,0.97503,0.94952,0.98224,0.83309,0.63566,0.28545,0.85132,0.0064855,0.0064855,0.0064855
73,5805.34,0.48477,0.3144,0.88057,0.98018,0.94413,0.98127,0.83299,0.63072,0.28252,0.85263,0.006436,0.006436,0.006436
74,5885.3,0.47476,0.30958,0.87343,0.98091,0.945,0.98144,0.83286,0.6331,0.28237,0.85542,0.0063865,0.0063865,0.0063865
75,5964.32,0.47893,0.30641,0.87665,0.97541,0.94706,0.9818,0.83498,0.63149,0.283,0.8555,0.006337,0.006337,0.006337
76,6043.58,0.47521,0.30943,0.8764,0.9758,0.94882,0.98171,0.83539,0.63171,0.28099,0.85354,0.0062875,0.0062875,0.0062875
77,6123.26,0.47341,0.30851,0.87446,0.97491,0.94921,0.98268,0.83804,0.62593,0.28188,0.85127,0.006238,0.006238,0.006238
78,6202.42,0.46337,0.30462,0.86992,0.98159,0.93931,0.9821,0.83757,0.62438,0.28076,0.85082,0.0061885,0.0061885,0.0061885
79,6280.4,0.47125,0.30378,0.87262,0.97834,0.94308,0.98188,0.83674,0.62701,0.28114,0.85317,0.006139,0.006139,0.006139
80,6358.3,0.46659,0.30204,0.87272,0.98162,0.94486,0.98325,0.8404,0.62517,0.2802,0.85226,0.0060895,0.0060895,0.0060895
81,6437.28,0.46009,0.30026,0.86982,0.97738,0.94534,0.98202,0.83813,0.62422,0.27875,0.85164,0.00604,0.00604,0.00604
82,6516.85,0.46052,0.29961,0.87142,0.97678,0.94648,0.98222,0.84063,0.61982,0.27715,0.85057,0.0059905,0.0059905,0.0059905
83,6595.86,0.46212,0.29986,0.87257,0.97502,0.94898,0.9824,0.8415,0.62026,0.27712,0.85143,0.005941,0.005941,0.005941
84,6674.38,0.4674,0.30545,0.87295,0.97097,0.94628,0.98228,0.84157,0.62281,0.27799,0.85018,0.0058915,0.0058915,0.0058915
85,6753.63,0.45845,0.29531,0.86806,0.97459,0.9452,0.98238,0.84176,0.62183,0.27682,0.84954,0.005842,0.005842,0.005842
86,6833.55,0.45295,0.29345,0.86668,0.97381,0.94738,0.98222,0.84407,0.6182,0.27435,0.84851,0.0057925,0.0057925,0.0057925
87,6912.98,0.45026,0.29369,0.86524,0.97594,0.94545,0.98213,0.84165,0.61793,0.27445,0.85005,0.005743,0.005743,0.005743
88,6992.32,0.44939,0.29298,0.86594,0.97736,0.94717,0.98169,0.84132,0.61696,0.27287,0.85008,0.0056935,0.0056935,0.0056935
89,7071.46,0.44939,0.29126,0.86571,0.97755,0.94477,0.98155,0.84275,0.6181,0.27446,0.85034,0.005644,0.005644,0.005644
90,7151.01,0.4493,0.29139,0.86662,0.97998,0.94281,0.9812,0.84314,0.61858,0.27622,0.85017,0.0055945,0.0055945,0.0055945
91,7230.58,0.45094,0.29089,0.86672,0.97995,0.94609,0.98192,0.84259,0.61803,0.27517,0.84933,0.005545,0.005545,0.005545
92,7309.72,0.4443,0.28806,0.86229,0.98069,0.94294,0.98164,0.84155,0.61781,0.27562,0.84953,0.0054955,0.0054955,0.0054955
93,7388.56,0.44171,0.28759,0.86291,0.97422,0.94724,0.98177,0.84051,0.61875,0.27509,0.85075,0.005446,0.005446,0.005446
94,7468.11,0.44184,0.28681,0.86569,0.97131,0.94903,0.98149,0.84314,0.61744,0.2739,0.85144,0.0053965,0.0053965,0.0053965
95,7547.89,0.44391,0.28902,0.86373,0.97578,0.94803,0.98184,0.84339,0.61446,0.27401,0.84975,0.005347,0.005347,0.005347
96,7627.47,0.43735,0.2835,0.86067,0.97601,0.94889,0.98188,0.84496,0.61358,0.2739,0.84935,0.0052975,0.0052975,0.0052975
97,7706.74,0.43068,0.28099,0.85935,0.97436,0.95088,0.98265,0.84505,0.6126,0.27083,0.84964,0.005248,0.005248,0.005248
98,7785.79,0.43601,0.2838,0.86306,0.97877,0.9471,0.98295,0.84559,0.61153,0.27078,0.84974,0.0051985,0.0051985,0.0051985
99,7865.35,0.42711,0.27832,0.85557,0.97814,0.947,0.98292,0.84571,0.61273,0.27,0.85091,0.005149,0.005149,0.005149
100,7945.27,0.43488,0.28162,0.8608,0.97585,0.94736,0.98267,0.84446,0.61563,0.27084,0.85168,0.0050995,0.0050995,0.0050995
101,8024.71,0.42937,0.27947,0.85866,0.97871,0.94658,0.98287,0.84349,0.6135,0.26953,0.85116,0.00505,0.00505,0.00505
102,8103.79,0.43127,0.28194,0.85805,0.97555,0.94901,0.98302,0.84445,0.61206,0.26717,0.85081,0.0050005,0.0050005,0.0050005
103,8183.07,0.42358,0.27652,0.85708,0.97608,0.94748,0.98336,0.84397,0.61199,0.26581,0.85043,0.004951,0.004951,0.004951
104,8262.68,0.42775,0.28038,0.85957,0.97621,0.94871,0.98321,0.84402,0.61192,0.26547,0.85064,0.0049015,0.0049015,0.0049015
105,8342.1,0.42371,0.27681,0.85652,0.97704,0.94666,0.98322,0.84493,0.61039,0.26533,0.84979,0.004852,0.004852,0.004852
106,8421.53,0.42226,0.27609,0.85785,0.97873,0.94691,0.98354,0.84506,0.60929,0.26496,0.84885,0.0048025,0.0048025,0.0048025
107,8500.56,0.4189,0.27318,0.85616,0.97556,0.95054,0.98365,0.84658,0.60845,0.26522,0.8482,0.004753,0.004753,0.004753
108,8580.15,0.41519,0.27052,0.85399,0.97519,0.94981,0.98347,0.8468,0.60822,0.26554,0.84786,0.0047035,0.0047035,0.0047035
109,8660.15,0.41828,0.27213,0.85733,0.97632,0.94748,0.98336,0.84626,0.60802,0.26495,0.84766,0.004654,0.004654,0.004654
110,8739.51,0.41417,0.2714,0.85427,0.97552,0.94748,0.98347,0.84598,0.60851,0.2652,0.84669,0.0046045,0.0046045,0.0046045
111,8818.51,0.41789,0.27328,0.85573,0.97343,0.94816,0.98358,0.84603,0.6088,0.26638,0.84687,0.004555,0.004555,0.004555
112,8897.51,0.42383,0.27732,0.85897,0.97412,0.94813,0.98351,0.84573,0.60753,0.2654,0.8469,0.0045055,0.0045055,0.0045055
113,8977.04,0.41397,0.27078,0.85507,0.97399,0.94768,0.98358,0.84655,0.60698,0.26525,0.84687,0.004456,0.004456,0.004456
114,9056.41,0.4151,0.26933,0.85606,0.97492,0.94763,0.98373,0.8467,0.60689,0.26578,0.84729,0.0044065,0.0044065,0.0044065
115,9135.75,0.40969,0.26923,0.85078,0.97516,0.94669,0.98374,0.84653,0.60636,0.26507,0.84725,0.004357,0.004357,0.004357
116,9214.51,0.40916,0.26769,0.85377,0.97567,0.9456,0.98353,0.84706,0.60375,0.26462,0.84681,0.0043075,0.0043075,0.0043075
117,9293.85,0.40598,0.26684,0.85532,0.97734,0.94548,0.98375,0.84745,0.60338,0.26425,0.84673,0.004258,0.004258,0.004258
118,9373.68,0.40398,0.26353,0.85167,0.97662,0.94576,0.98396,0.84784,0.6032,0.26432,0.8467,0.0042085,0.0042085,0.0042085
119,9453.09,0.40458,0.26493,0.85064,0.97792,0.94629,0.98389,0.84881,0.60334,0.26477,0.84662,0.004159,0.004159,0.004159
120,9532.4,0.40395,0.2668,0.8517,0.97795,0.94775,0.98399,0.84858,0.60272,0.26475,0.84659,0.0041095,0.0041095,0.0041095
121,9611.37,0.40228,0.26394,0.85189,0.97639,0.95011,0.98436,0.8488,0.60282,0.26498,0.84646,0.00406,0.00406,0.00406
122,9691.04,0.39823,0.26096,0.84887,0.97616,0.94882,0.98391,0.84886,0.60165,0.26463,0.84616,0.0040105,0.0040105,0.0040105
123,9770.41,0.39993,0.26042,0.85051,0.97716,0.9506,0.98423,0.84865,0.60212,0.26475,0.84602,0.003961,0.003961,0.003961
124,9849.82,0.39709,0.25832,0.84791,0.97551,0.94943,0.98382,0.84889,0.6015,0.264,0.84556,0.0039115,0.0039115,0.0039115
125,9929,0.39617,0.25935,0.85137,0.97657,0.94961,0.98409,0.84894,0.60051,0.26449,0.84549,0.003862,0.003862,0.003862
126,10008.2,0.39184,0.25788,0.84674,0.9741,0.94961,0.98415,0.84922,0.60013,0.26456,0.84546,0.0038125,0.0038125,0.0038125
127,10087.9,0.38834,0.25735,0.8452,0.97435,0.94985,0.98419,0.84968,0.60055,0.26437,0.84535,0.003763,0.003763,0.003763
128,10167.1,0.38615,0.25475,0.84413,0.97483,0.94997,0.98415,0.84939,0.59982,0.26359,0.84538,0.0037135,0.0037135,0.0037135
129,10246.2,0.39319,0.25588,0.84803,0.97617,0.94824,0.98389,0.84962,0.59978,0.26325,0.84545,0.003664,0.003664,0.003664
130,10325.3,0.38777,0.25402,0.84696,0.97373,0.94912,0.984,0.85008,0.5996,0.26345,0.84559,0.0036145,0.0036145,0.0036145
131,10405.3,0.38589,0.25295,0.8433,0.97328,0.94971,0.98413,0.85039,0.59962,0.26345,0.84564,0.003565,0.003565,0.003565
132,10484.8,0.38405,0.25204,0.84439,0.97332,0.95017,0.98416,0.85037,0.59913,0.26354,0.84581,0.0035155,0.0035155,0.0035155
133,10564,0.37847,0.24851,0.84308,0.97264,0.9505,0.98415,0.85055,0.59818,0.26303,0.84577,0.003466,0.003466,0.003466
134,10642.9,0.37738,0.24934,0.84226,0.97267,0.95061,0.98401,0.8507,0.5983,0.26314,0.84568,0.0034165,0.0034165,0.0034165
135,10721.9,0.38344,0.25125,0.84537,0.97243,0.95082,0.98389,0.85111,0.59795,0.26301,0.84571,0.003367,0.003367,0.003367
136,10801.7,0.37575,0.24859,0.84263,0.97209,0.95061,0.98386,0.85098,0.59757,0.26288,0.84574,0.0033175,0.0033175,0.0033175
137,10881.2,0.3781,0.24831,0.84471,0.97188,0.95039,0.984,0.85129,0.59775,0.26252,0.84568,0.003268,0.003268,0.003268
138,10960.3,0.37793,0.2477,0.84509,0.97109,0.95032,0.9838,0.85142,0.59747,0.26197,0.84556,0.0032185,0.0032185,0.0032185
139,11039,0.37344,0.24605,0.84276,0.97128,0.95025,0.98383,0.85126,0.59728,0.26183,0.84558,0.003169,0.003169,0.003169
140,11118.6,0.37121,0.247,0.84058,0.97277,0.94975,0.98397,0.85167,0.59663,0.26142,0.84562,0.0031195,0.0031195,0.0031195
